,PF = 1.0,PF = 0.9,PF = 0.8,PF = 0.7,PF = 0.6,PF = 0.5,PF = 0.4,PF = 0.3,PF = 0.2,PF = 0.1
0.0001,0.159972269792111,0.158703852735957,0.158568132396979,0.158352817049585,0.158104195287465,0.157841975005994,0.157578331151814,0.157322222436459,0.157077845987893,0.156846144956594
0.001,0.668677021300406,0.656229408509526,0.655882050605428,0.655355803202043,0.654744265958537,0.654090811455058,0.65342180459198,0.652749069411366,0.652086305634899,0.651432599114391
0.005,0.921724808602432,0.909068948295821,0.90876295380804,0.908307283214961,0.907768356142615,0.907179565687772,0.906553331618824,0.905902498269469,0.905233028357245,0.904545249919735
0.01,0.963584321030944,0.954237228566848,0.953966593115145,0.95355512406054,0.953063435668041,0.952515891352313,0.951928477495134,0.951306666474676,0.950656589243626,0.949978871988604
0.03,0.987275182468832,0.983961154802461,0.983747310420075,0.983404264000173,0.982972720214477,0.982474738110019,0.981924572841251,0.981331590534897,0.980697711218596,0.980024763608056
0.05,0.989254405589031,0.987959005645802,0.987725307334372,0.987371667680608,0.986926026224804,0.986407868882057,0.985834182198504,0.985214914071107,0.984557608100432,0.983868026835893
0.1,0.989050571667112,0.988556195148162,0.988188252519092,0.987699562063649,0.987123398721876,0.986492941432156,0.985828621990377,0.985137979444472,0.984434097078431,0.983722364211633
0.2,0.986145300434755,0.985613548321557,0.985178619270614,0.984604438179982,0.983986297602648,0.983344962371734,0.982696534181729,0.982046005977978,0.981392026845957,0.980736422251963
0.3,0.982872694795354,0.98234739373885,0.981958123029282,0.981456734216085,0.980915271073845,0.980355694463808,0.979793845062087,0.979228459807144,0.978661079755122,0.978091518179067
0.4,0.979468929063283,0.979192059792762,0.978755939322363,0.978303049290698,0.977832801415387,0.977349889581409,0.97686678708026,0.976382945419775,0.97590081471242,0.9754190052983
0.5,0.975933256722018,0.975742113070401,0.975467388114727,0.975158029998513,0.974754295303795,0.974329208018998,0.973912337451222,0.973504153242287,0.973104804221789,0.972710020867589
0.6,0.972215981373605,0.972146285674971,0.971913915969233,0.971723592472283,0.971534200638558,0.971271020484845,0.970955740406907,0.970628128797484,0.970310453857707,0.970002779087501
0.7,0.968270051692417,0.968327770229812,0.968168746977615,0.968028051969149,0.967924821066383,0.967840270368304,0.967733827633168,0.967590415522993,0.967420153926169,0.967238695583087
0.8,0.964359260230183,0.964606433178687,0.964490554322088,0.964402717455276,0.964333114090311,0.964283460185677,0.964244194203891,0.964205528965468,0.964157573756417,0.964094530105619
0.9,0.960265178380914,0.960737512147194,0.960712007660714,0.960732230162972,0.960731894454656,0.960744975526724,0.960764288492488,0.960786777359251,0.96080757590923,0.960821823658981
1,0.955910097329114,0.95655805512486,0.956749805831086,0.956878817564537,0.957000588462409,0.957105513184122,0.957216871633249,0.957330229143346,0.957443765176512,0.957554026690424
